user_input,bot_response
hello,"Hello, nice to meet you!"
hi,Hello!
what is python,Python is a programming language.
who made you,I was created by Anna.
what is your name,My name is Echo.
what is javascript,JavaScript is a programming language used for web development.
what is the color of the sky,Blue
who built you,I am created by Anna
Hey,"Hi, there!"
what is the capital of ireland,Dublin
Why is what,I don't understand
what is html,HTML is used to create web pages.
what is css,CSS is used to style web pages.
what is sql,SQL is used to work with databases.
